baseline_policy,benchmark,effective_l3_misses,final_job_id,l3_miss_ratio_vs_lru,l3_miss_reduction_vs_lru_pct,l3_misses,l3_size,pipeline_run_name,policy_label,policy_short,popt_charged_l3_misses_plus_matrix_stream,popt_overhead_charged,prefetcher,section,sim_ticks,simulator,threads,timing_caveat,timing_model,timing_valid_for_speedup
LRU,bfs,0.0,10_cache_sim_large_replacement_com-orkut_bfs,,,0,4kB,20260528_1408_final_cache_sim,POPT_CHARGED,P-OPT+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,0.0,10_cache_sim_large_replacement_com-orkut_bfs,,,0,4kB,20260528_1408_final_cache_sim,POPT,P-OPT,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,0.0,10_cache_sim_large_replacement_com-orkut_bfs,,,0,4kB,20260528_1408_final_cache_sim,ECG_DBG_ONLY,ECG-D,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,0.0,10_cache_sim_large_replacement_com-orkut_bfs,,,0,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,0.0,10_cache_sim_large_replacement_com-orkut_bfs,,,0,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY,ECG-H,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,0.0,10_cache_sim_large_replacement_com-orkut_bfs,,,0,4kB,20260528_1408_final_cache_sim,ECG_POPT_PRIMARY,ECG-P,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,1.0,10_cache_sim_large_replacement_com-orkut_sssp,1.0,0.0,1,4kB,20260528_1408_final_cache_sim,LRU,LRU,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,1.0,10_cache_sim_large_replacement_com-orkut_sssp,1.0,0.0,1,4kB,20260528_1408_final_cache_sim,SRRIP,SRRIP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,1.0,10_cache_sim_large_replacement_com-orkut_sssp,1.0,0.0,1,4kB,20260528_1408_final_cache_sim,GRASP,GRASP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,1.0,10_cache_sim_large_replacement_com-orkut_sssp,1.0,0.0,1,4kB,20260528_1408_final_cache_sim,POPT_CHARGED,P-OPT+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,1.0,10_cache_sim_large_replacement_com-orkut_sssp,1.0,0.0,1,4kB,20260528_1408_final_cache_sim,POPT,P-OPT,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,1.0,10_cache_sim_large_replacement_com-orkut_sssp,1.0,0.0,1,4kB,20260528_1408_final_cache_sim,ECG_DBG_ONLY,ECG-D,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,1.0,10_cache_sim_large_replacement_com-orkut_sssp,1.0,0.0,1,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,1.0,10_cache_sim_large_replacement_com-orkut_sssp,1.0,0.0,1,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY,ECG-H,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,1.0,10_cache_sim_large_replacement_com-orkut_sssp,1.0,0.0,1,4kB,20260528_1408_final_cache_sim,ECG_POPT_PRIMARY,ECG-P,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,83521142.0,10_cache_sim_large_replacement_cit-Patents_pr,1.0,0.0,83521142,4kB,20260528_1408_final_cache_sim,LRU,LRU,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,83922255.0,10_cache_sim_large_replacement_cit-Patents_pr,1.0048025325132648,-0.4802532513264725,83922255,4kB,20260528_1408_final_cache_sim,SRRIP,SRRIP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,88656946.0,10_cache_sim_large_replacement_cit-Patents_pr,1.0614910653400789,-6.14910653400788,88656946,4kB,20260528_1408_final_cache_sim,GRASP,GRASP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,89119611.0,10_cache_sim_large_replacement_cit-Patents_pr,1.0670305609566497,-6.703056095664975,89119611,4kB,20260528_1408_final_cache_sim,POPT_CHARGED,P-OPT+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,91346818.0,10_cache_sim_large_replacement_cit-Patents_pr,1.0936969468161726,-9.369694681617261,91346818,4kB,20260528_1408_final_cache_sim,POPT,P-OPT,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,89087500.0,10_cache_sim_large_replacement_cit-Patents_pr,1.0666460954281491,-6.66460954281492,89087500,4kB,20260528_1408_final_cache_sim,ECG_DBG_ONLY,ECG-D,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,89050598.0,10_cache_sim_large_replacement_cit-Patents_pr,1.0662042671782432,-6.620426717824332,89050598,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,88353253.0,10_cache_sim_large_replacement_cit-Patents_pr,1.0578549440811047,-5.785494408110464,88353253,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY,ECG-H,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,91214797.0,10_cache_sim_large_replacement_cit-Patents_pr,1.0921162572226324,-9.211625722263232,91214797,4kB,20260528_1408_final_cache_sim,ECG_POPT_PRIMARY,ECG-P,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,6316459.0,10_cache_sim_large_replacement_cit-Patents_bfs,1.0,0.0,6316459,4kB,20260528_1408_final_cache_sim,LRU,LRU,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,6240586.0,10_cache_sim_large_replacement_cit-Patents_bfs,0.9879880483669727,1.2011951633027302,6240586,4kB,20260528_1408_final_cache_sim,SRRIP,SRRIP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,6731456.0,10_cache_sim_large_replacement_cit-Patents_bfs,1.0657008934911159,-6.570089349111583,6731456,4kB,20260528_1408_final_cache_sim,GRASP,GRASP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,6714787.0,10_cache_sim_large_replacement_cit-Patents_bfs,1.0630619149115035,-6.306191491150343,6714787,4kB,20260528_1408_final_cache_sim,POPT_CHARGED,P-OPT+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,6307186.0,10_cache_sim_large_replacement_cit-Patents_bfs,0.9985319306275874,0.1468069372412613,6307186,4kB,20260528_1408_final_cache_sim,POPT,P-OPT,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,6836655.0,10_cache_sim_large_replacement_cit-Patents_bfs,1.0823556362829236,-8.23556362829237,6836655,4kB,20260528_1408_final_cache_sim,ECG_DBG_ONLY,ECG-D,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,6635868.0,10_cache_sim_large_replacement_cit-Patents_bfs,1.050567731065776,-5.056773106577594,6635868,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,6755306.0,10_cache_sim_large_replacement_cit-Patents_bfs,1.0694767432195793,-6.947674321957919,6755306,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY,ECG-H,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,6328125.0,10_cache_sim_large_replacement_cit-Patents_bfs,1.0018469208776626,-0.18469208776626272,6328125,4kB,20260528_1408_final_cache_sim,ECG_POPT_PRIMARY,ECG-P,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,34504996.0,10_cache_sim_large_replacement_cit-Patents_sssp,1.0,0.0,34504996,4kB,20260528_1408_final_cache_sim,LRU,LRU,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,34505686.0,10_cache_sim_large_replacement_cit-Patents_sssp,1.0000199971041874,-0.001999710418746317,34505686,4kB,20260528_1408_final_cache_sim,SRRIP,SRRIP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,35210913.0,10_cache_sim_large_replacement_cit-Patents_sssp,1.0204583997053644,-2.0458399705364405,35210913,4kB,20260528_1408_final_cache_sim,GRASP,GRASP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,35291383.0,10_cache_sim_large_replacement_cit-Patents_sssp,1.0227905257545893,-2.2790525754589277,35291383,4kB,20260528_1408_final_cache_sim,POPT_CHARGED,P-OPT+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,34086021.0,10_cache_sim_large_replacement_cit-Patents_sssp,0.9878575554681994,1.2142444531800554,34086021,4kB,20260528_1408_final_cache_sim,POPT,P-OPT,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,35193720.0,10_cache_sim_large_replacement_cit-Patents_sssp,1.0199601240353715,-1.9960124035371574,35193720,4kB,20260528_1408_final_cache_sim,ECG_DBG_ONLY,ECG-D,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,35295926.0,10_cache_sim_large_replacement_cit-Patents_sssp,1.0229221878478119,-2.2922187847811952,35295926,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,35034472.0,10_cache_sim_large_replacement_cit-Patents_sssp,1.0153449083141468,-1.534490831414674,35034472,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY,ECG-H,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,34275305.0,10_cache_sim_large_replacement_cit-Patents_sssp,0.9933432538290977,0.6656746170902325,34275305,4kB,20260528_1408_final_cache_sim,ECG_POPT_PRIMARY,ECG-P,,0,none,0,,cache_sim,,,simulated_target_time,1
