graph,app,l3_size,policy,miss_rate,delta_vs_lru_pct,l3_accesses,claim_status,claim_citation
soc-LiveJournal1,bc,1MB,LRU,0.864855,+0.0000,,no_claim,
soc-LiveJournal1,bc,1MB,POPT,0.842514,-2.2341,,no_claim,
soc-LiveJournal1,bc,1MB,SRRIP,0.850112,-1.4743,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
soc-LiveJournal1,bc,4MB,GRASP,0.600089,-5.5098,,no_claim,
soc-LiveJournal1,bc,4MB,LRU,0.655187,+0.0000,,no_claim,
soc-LiveJournal1,bc,4MB,POPT,0.629821,-2.5366,,no_claim,
soc-LiveJournal1,bc,4MB,SRRIP,0.629684,-2.5503,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
soc-LiveJournal1,bc,8MB,GRASP,0.440550,-6.1941,,no_claim,
soc-LiveJournal1,bc,8MB,LRU,0.502491,+0.0000,,no_claim,
soc-LiveJournal1,bc,8MB,POPT,0.479932,-2.2559,,no_claim,
soc-LiveJournal1,bc,8MB,SRRIP,0.471911,-3.0580,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
soc-LiveJournal1,bfs,1MB,GRASP,0.783742,-5.1967,,ok,Faldu et al. HPCA 2020 Fig 11
soc-LiveJournal1,bfs,1MB,LRU,0.835709,+0.0000,,no_claim,
soc-LiveJournal1,bfs,1MB,POPT,0.805644,-3.0065,,no_claim,
soc-LiveJournal1,bfs,1MB,SRRIP,0.810706,-2.5003,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
soc-LiveJournal1,bfs,4MB,GRASP,0.572008,-7.2590,,no_claim,
soc-LiveJournal1,bfs,4MB,LRU,0.644598,+0.0000,,no_claim,
soc-LiveJournal1,bfs,4MB,POPT,0.605591,-3.9007,,no_claim,
soc-LiveJournal1,bfs,4MB,SRRIP,0.618504,-2.6094,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
