citation,graph,app,l3_size,policy,expected_sign,min_abs_delta_pct,max_abs_delta_pct,tolerance_pct,delta_pct,status
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,pr,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,5.2914,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1,com-orkut,pr,8MB,SRRIP,~,,5.0,2.0,-2.2724,ok
Faldu et al. HPCA 2020 §6.1 (extrapolated from twitter Fig 10),com-orkut,pr,8MB,GRASP,-,0.5,12.0,2.0,-3.5227,ok
Balaji & Lucia HPCA 2021 §6.3,com-orkut,pr,8MB,POPT_GE_GRASP,-,,,1.0,-2.0108,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,pr,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,2.0108,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,sssp,1MB,SRRIP,~,,5.0,3.0,-3.9895,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,sssp,1MB,POPT_GE_GRASP,-,,,1.5,-3.6961,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,sssp,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,3.6961,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,sssp,4MB,SRRIP,~,,5.0,3.0,-1.5592,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,sssp,4MB,POPT_GE_GRASP,-,,,1.5,-1.1607,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,sssp,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.1607,ok
Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,sssp,8MB,SRRIP,~,,5.0,3.0,-0.228,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,sssp,8MB,POPT_GE_GRASP,-,,,1.5,0.1618,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,sssp,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.1618,ok
Balaji & Lucia HPCA 2021 §6.3,delaunay_n19,pr,16kB,POPT_GE_GRASP,-,,,1.0,0.3319,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,delaunay_n19,pr,16kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.3319,ok
Balaji & Lucia HPCA 2021 §6.3,delaunay_n19,pr,1MB,POPT_GE_GRASP,-,,,1.0,-3.8674,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,delaunay_n19,pr,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,3.8674,ok
Balaji & Lucia HPCA 2021 §6.3,delaunay_n19,pr,256kB,POPT_GE_GRASP,-,,,1.0,-0.6154,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,delaunay_n19,pr,256kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.6154,ok
Balaji & Lucia HPCA 2021 §6.3,delaunay_n19,pr,4kB,POPT_GE_GRASP,-,,,1.0,0.0789,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,delaunay_n19,pr,4kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0789,ok
Balaji & Lucia HPCA 2021 §6.3,delaunay_n19,pr,64kB,POPT_GE_GRASP,-,,,1.0,-0.2339,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,delaunay_n19,pr,64kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.2339,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),email-Eu-core,bc,1MB,POPT_GE_GRASP,-,,,1.5,0.0,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,email-Eu-core,bc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),email-Eu-core,bc,4MB,POPT_GE_GRASP,-,,,1.5,0.0097,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,email-Eu-core,bc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0097,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),email-Eu-core,bc,8MB,POPT_GE_GRASP,-,,,1.5,-0.0001,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,email-Eu-core,bc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0001,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),email-Eu-core,bfs,1MB,POPT_GE_GRASP,-,,,1.5,-17.7511,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,email-Eu-core,bfs,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,17.7511,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),email-Eu-core,bfs,4MB,POPT_GE_GRASP,-,,,1.5,-0.0002,ok
