graph,app,l3_size,policy,status,delta_pct,expected_sign,min_abs_delta_pct,max_abs_delta_pct,tolerance_pct,margin_pp,claim_kind,citation
com-orkut,pr,8MB,SRRIP,ok,-2.2724,~,,5.0,2.0,4.73,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
com-orkut,pr,8MB,GRASP,ok,-3.5227,-,0.5,12.0,2.0,5.025,cache_policy,Faldu et al. HPCA 2020 §6.1 (extrapolated from twitter Fig 10)
com-orkut,pr,8MB,POPT_GE_GRASP,ok,-2.0108,-,,,1.0,3.0108,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
com-orkut,pr,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,2.0108,~,,5.0,2.0,9.0108,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,sssp,1MB,SRRIP,ok,-3.9895,~,,5.0,3.0,4.015,cache_policy,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,sssp,1MB,POPT_GE_GRASP,ok,-3.6961,-,,,1.5,5.1961,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,sssp,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,3.6961,~,,5.0,2.0,10.6961,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,sssp,4MB,SRRIP,ok,-1.5592,~,,5.0,3.0,6.445,cache_policy,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,sssp,4MB,POPT_GE_GRASP,ok,-1.1607,-,,,1.5,2.6607,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,sssp,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,1.1607,~,,5.0,2.0,8.1607,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,sssp,8MB,SRRIP,ok,-0.228,~,,5.0,3.0,7.775,cache_policy,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,sssp,8MB,POPT_GE_GRASP,ok,0.1618,-,,,1.5,1.3382,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,sssp,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.1618,~,,5.0,2.0,6.8382,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
delaunay_n19,pr,16kB,POPT_GE_GRASP,ok,0.3319,-,,,1.0,0.6681,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
delaunay_n19,pr,16kB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.3319,~,,5.0,2.0,6.6681,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
delaunay_n19,pr,1MB,POPT_GE_GRASP,ok,-3.8674,-,,,1.0,4.8674,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
delaunay_n19,pr,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,3.8674,~,,5.0,2.0,10.8674,popt_near_grasp_active,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
delaunay_n19,pr,256kB,POPT_GE_GRASP,ok,-0.6154,-,,,1.0,1.6154,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
delaunay_n19,pr,256kB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.6154,~,,5.0,2.0,7.6154,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
delaunay_n19,pr,4kB,POPT_GE_GRASP,ok,0.0789,-,,,1.0,0.9211,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
delaunay_n19,pr,4kB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.0789,~,,5.0,2.0,6.9211,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
delaunay_n19,pr,64kB,POPT_GE_GRASP,ok,-0.2339,-,,,1.0,1.2339,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
delaunay_n19,pr,64kB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.2339,~,,5.0,2.0,7.2339,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
email-Eu-core,bc,1MB,POPT_GE_GRASP,ok,0.0,-,,,1.5,1.5,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
email-Eu-core,bc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.0,~,,5.0,2.0,7.0,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
email-Eu-core,bc,4MB,POPT_GE_GRASP,ok,0.0097,-,,,1.5,1.4903,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
email-Eu-core,bc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.0097,~,,5.0,2.0,6.9903,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
email-Eu-core,bc,8MB,POPT_GE_GRASP,ok,-0.0001,-,,,1.5,1.5001,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
email-Eu-core,bc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.0001,~,,5.0,2.0,7.0001,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
email-Eu-core,bfs,1MB,POPT_GE_GRASP,ok,-17.7511,-,,,1.5,19.2511,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
email-Eu-core,bfs,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,17.7511,~,,5.0,2.0,24.7511,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
email-Eu-core,bfs,4MB,POPT_GE_GRASP,ok,-0.0002,-,,,1.5,1.5002,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
email-Eu-core,bfs,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.0002,~,,5.0,2.0,7.0002,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
email-Eu-core,bfs,8MB,POPT_GE_GRASP,ok,0.0015,-,,,1.5,1.4985,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
email-Eu-core,bfs,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.0015,~,,5.0,2.0,6.9985,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
email-Eu-core,pr,1MB,POPT_GE_GRASP,insufficient_data,0.0,-,,,1.0,0.0,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
email-Eu-core,pr,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,insufficient_data,0.0,~,,5.0,2.0,0.0,popt_near_grasp_if_big_gap,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
email-Eu-core,pr,4MB,POPT_GE_GRASP,insufficient_data,0.0,-,,,1.0,0.0,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
email-Eu-core,pr,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,insufficient_data,0.0,~,,5.0,2.0,0.0,popt_near_grasp_if_big_gap,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
email-Eu-core,pr,8MB,GRASP,insufficient_data,0.0,~,,3.0,1.0,0.0,cache_policy,Faldu et al. HPCA 2020 Fig 10
email-Eu-core,pr,8MB,POPT_GE_GRASP,insufficient_data,0.0,-,,,1.0,0.0,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
