graph,app,l3_size,family,regime,policy,miss_rate,oracle,gap_pp,is_winner,n_policies_in_cell
roadNet-CA,cc,256kB,road,small,LRU,0.999765,0.962523,3.724,0,4
roadNet-CA,cc,256kB,road,small,POPT,0.983587,0.962523,2.106,0,4
roadNet-CA,cc,256kB,road,small,SRRIP,0.999754,0.962523,3.723,0,4
roadNet-CA,cc,1MB,road,large,GRASP,0.865354,0.865354,0.000,1,4
roadNet-CA,cc,1MB,road,large,LRU,0.991693,0.865354,12.634,0,4
roadNet-CA,cc,1MB,road,large,POPT,0.931169,0.865354,6.582,0,4
roadNet-CA,cc,1MB,road,large,SRRIP,0.990865,0.865354,12.551,0,4
roadNet-CA,pr,4kB,road,tiny,GRASP,0.999644,0.999644,0.000,1,4
roadNet-CA,pr,4kB,road,tiny,LRU,1.000000,0.999644,0.036,0,4
roadNet-CA,pr,4kB,road,tiny,POPT,1.000000,0.999644,0.036,0,4
roadNet-CA,pr,4kB,road,tiny,SRRIP,1.000000,0.999644,0.036,0,4
roadNet-CA,pr,16kB,road,tiny,GRASP,0.999512,0.999512,0.000,1,4
roadNet-CA,pr,16kB,road,tiny,LRU,1.000000,0.999512,0.049,0,4
roadNet-CA,pr,16kB,road,tiny,POPT,0.999947,0.999512,0.044,0,4
roadNet-CA,pr,16kB,road,tiny,SRRIP,1.000000,0.999512,0.049,0,4
roadNet-CA,pr,64kB,road,tiny,GRASP,0.999210,0.988321,1.089,0,4
roadNet-CA,pr,64kB,road,tiny,LRU,0.999999,0.988321,1.168,0,4
roadNet-CA,pr,64kB,road,tiny,POPT,0.988321,0.988321,0.000,1,4
roadNet-CA,pr,64kB,road,tiny,SRRIP,0.999999,0.988321,1.168,0,4
roadNet-CA,pr,256kB,road,small,GRASP,0.988995,0.943295,4.570,0,4
roadNet-CA,pr,256kB,road,small,LRU,0.995285,0.943295,5.199,0,4
roadNet-CA,pr,256kB,road,small,POPT,0.943295,0.943295,0.000,1,4
roadNet-CA,pr,256kB,road,small,SRRIP,0.995039,0.943295,5.174,0,4
roadNet-CA,pr,1MB,road,large,GRASP,0.978026,0.907752,7.027,0,4
roadNet-CA,pr,1MB,road,large,LRU,0.952502,0.907752,4.475,0,4
roadNet-CA,pr,1MB,road,large,POPT,0.907752,0.907752,0.000,1,4
roadNet-CA,pr,1MB,road,large,SRRIP,0.953039,0.907752,4.529,0,4
roadNet-CA,sssp,4kB,road,tiny,GRASP,0.999397,0.999397,0.000,1,4
roadNet-CA,sssp,4kB,road,tiny,LRU,1.000000,0.999397,0.060,0,4
roadNet-CA,sssp,4kB,road,tiny,POPT,0.999942,0.999397,0.055,0,4
roadNet-CA,sssp,4kB,road,tiny,SRRIP,1.000000,0.999397,0.060,0,4
roadNet-CA,sssp,16kB,road,tiny,GRASP,0.986344,0.986344,0.000,1,4
roadNet-CA,sssp,16kB,road,tiny,LRU,0.999739,0.986344,1.340,0,4
roadNet-CA,sssp,16kB,road,tiny,POPT,0.996549,0.986344,1.021,0,4
roadNet-CA,sssp,16kB,road,tiny,SRRIP,0.999600,0.986344,1.326,0,4
roadNet-CA,sssp,64kB,road,tiny,GRASP,0.869996,0.869996,0.000,1,4
roadNet-CA,sssp,64kB,road,tiny,LRU,0.973073,0.869996,10.308,0,4
roadNet-CA,sssp,64kB,road,tiny,POPT,0.932386,0.869996,6.239,0,4
roadNet-CA,sssp,64kB,road,tiny,SRRIP,0.967002,0.869996,9.701,0,4
roadNet-CA,sssp,256kB,road,small,GRASP,0.800503,0.550468,25.004,0,4
roadNet-CA,sssp,256kB,road,small,LRU,0.565672,0.550468,1.520,0,4
roadNet-CA,sssp,256kB,road,small,POPT,0.612118,0.550468,6.165,0,4
roadNet-CA,sssp,256kB,road,small,SRRIP,0.550468,0.550468,0.000,1,4
roadNet-CA,sssp,1MB,road,large,GRASP,0.724823,0.166549,55.827,0,4
roadNet-CA,sssp,1MB,road,large,LRU,0.166549,0.166549,0.000,1,4
roadNet-CA,sssp,1MB,road,large,POPT,0.254540,0.166549,8.799,0,4
roadNet-CA,sssp,1MB,road,large,SRRIP,0.177961,0.166549,1.141,0,4
com-orkut,bc,1MB,social,large,GRASP,0.796393,0.796393,0.000,1,4
com-orkut,bc,1MB,social,large,LRU,0.836912,0.796393,4.052,0,4
com-orkut,bc,1MB,social,large,POPT,0.804792,0.796393,0.840,0,4
com-orkut,bc,1MB,social,large,SRRIP,0.820532,0.796393,2.414,0,4
com-orkut,bc,4MB,social,large,GRASP,0.525040,0.525040,0.000,1,4
com-orkut,bc,4MB,social,large,LRU,0.573525,0.525040,4.848,0,4
com-orkut,bc,4MB,social,large,POPT,0.561793,0.525040,3.675,0,4
com-orkut,bc,4MB,social,large,SRRIP,0.546997,0.525040,2.196,0,4
com-orkut,bc,8MB,social,large,GRASP,0.340600,0.340600,0.000,1,4
com-orkut,bc,8MB,social,large,LRU,0.376045,0.340600,3.545,0,4
com-orkut,bc,8MB,social,large,POPT,0.398577,0.340600,5.798,0,4
com-orkut,bc,8MB,social,large,SRRIP,0.349875,0.340600,0.927,0,4
com-orkut,bfs,1MB,social,large,GRASP,0.998120,0.998100,0.002,0,4
com-orkut,bfs,1MB,social,large,LRU,0.998892,0.998100,0.079,0,4
com-orkut,bfs,1MB,social,large,POPT,0.998100,0.998100,0.000,1,4
com-orkut,bfs,1MB,social,large,SRRIP,0.998793,0.998100,0.069,0,4
